joke,topic,funny
Why don't scientists trust atoms? They make up everything!,science,1
What do you call a fake noodle? An impasta!,food,1
Why did the scarecrow win an award? He was outstanding in his field!,agriculture,1
Why don't eggs tell jokes? They'd crack each other up!,food,0
How do you organize a space party? You planet!,space,1
Why don't skeletons fight each other? They don't have the guts!,anatomy,1
What do you call a can opener that doesn't work? A can't opener!,kitchen,0
Why did the math book look so sad? Because it had too many problems!,education,1
What do you call a bear with no teeth? A gummy bear!,animals,1
Why did the cookie go to the doctor? Because it was feeling crumbly!,food,0
What do you call a sleeping bull? A bulldozer!,animals,1
Why don't eggs tell jokes? They'd crack each other up!,food,0
How do you make a tissue dance? Put a little boogie in it!,music,1
What do you call a fake stone in Ireland? A sham rock!,geography,1
Why don't oysters donate to charity? Because they're shellfish!,marine life,1
What do you call a dog magician? A labracadabrador!,animals,1
Why don't scientists trust atoms? They make up everything!,science,1
How do you catch a squirrel? Climb a tree and act like a nut!,animals,0
What do you call a bear with no ears? B!,animals,1
Why did the golfer bring two pairs of pants? In case he got a hole in one!,sports,1
What do you call a pile of cats? A meowtain!,animals,1
Why don't eggs tell jokes? They'd crack each other up!,food,0
What do you call a fake noodle? An impasta!,food,1
Why did the scarecrow win an award? He was outstanding in his field!,agriculture,1
How do you organize a space party? You planet!,space,1
Why don't skeletons fight each other? They don't have the guts!,anatomy,1
What do you call a can opener that doesn't work? A can't opener!,kitchen,0
Why did the math book look so sad? Because it had too many problems!,education,1
What do you call a bear with no teeth? A gummy bear!,animals,1
Why did the cookie go to the doctor? Because it was feeling crumbly!,food,0
What do you call a sleeping bull? A bulldozer!,animals,1
How do you make a tissue dance? Put a little boogie in it!,music,1
What do you call a fake stone in Ireland? A sham rock!,geography,1
Why don't oysters donate to charity? Because they're shellfish!,marine life,1
What do you call a dog magician? A labracadabrador!,animals,1
How do you catch a squirrel? Climb a tree and act like a nut!,animals,0
What do you call a bear with no ears? B!,animals,1
Why did the golfer bring two pairs of pants? In case he got a hole in one!,sports,1
What do you call a pile of cats? A meowtain!,animals,1
Why don't eggs tell jokes? They'd crack each other up!,food,0
What do you call a fake noodle? An impasta!,food,1
Why did the scarecrow win an award? He was outstanding in his field!,agriculture,1
How do you organize a space party? You planet!,space,1
Why don't skeletons fight each other? They don't have the guts!,anatomy,1
What do you call a can opener that doesn't work? A can't opener!,kitchen,0
Why did the math book look so sad? Because it had too many problems!,education,1
What do you call a bear with no teeth? A gummy bear!,animals,1
Why did the cookie go to the doctor? Because it was feeling crumbly!,food,0
What do you call a sleeping bull? A bulldozer!,animals,1
How do you make a tissue dance? Put a little boogie in it!,music,1
What do you call a fake stone in Ireland? A sham rock!,geography,1
Why don't oysters donate to charity? Because they're shellfish!,marine life,1
What do you call a dog magician? A labracadabrador!,animals,1
How do you catch a squirrel? Climb a tree and act like a nut!,animals,0
What do you call a bear with no ears? B!,animals,1
Why did the golfer bring two pairs of pants? In case he got a hole in one!,sports,1
What do you call a pile of cats? A meowtain!,animals,1
Why don't eggs tell jokes? They'd crack each other up!,food,0
What do you call a fake noodle? An impasta!,food,1
Why did the scarecrow win an award? He was outstanding in his field!,agriculture,1
How do you organize a space party? You planet!,space,1
Why don't skeletons fight each other? They don't have the guts!,anatomy,1
What do you call a can opener that doesn't work? A can't opener!,kitchen,0
Why did the math book look so sad? Because it had too many problems!,education,1
What do you call a bear with no teeth? A gummy bear!,animals,1
Why did the cookie go to the doctor? Because it was feeling crumbly!,food,0
What do you call a sleeping bull? A bulldozer!,animals,1
How do you make a tissue dance? Put a little boogie in it!,music,1
What do you call a fake stone in Ireland? A sham rock!,geography,1
Why don't oysters donate to charity? Because they're shellfish!,marine life,1
What do you call a dog magician? A labracadabrador!,animals,1
How do you catch a squirrel? Climb a tree and act like a nut!,animals,0
What do you call a bear with no ears? B!,animals,1
Why did the golfer bring two pairs of pants? In case he got a hole in one!,sports,1
What do you call a pile of cats? A meowtain!,animals,1
Why don't eggs tell jokes? They'd crack each other up!,food,0
What do you call a fake noodle? An impasta!,food,1
Why did the scarecrow win an award? He was outstanding in his field!,agriculture,1
How do you organize a space party? You planet!,space,1
Why don't skeletons fight each other? They don't have the guts!,anatomy,1
What do you call a can opener that doesn't work? A can't opener!,kitchen,0
Why did the math book look so sad? Because it had too many problems!,education,1
What do you call a bear with no teeth? A gummy bear!,animals,1
Why did the cookie go to the doctor? Because it was feeling crumbly!,food,0
What do you call a sleeping bull? A bulldozer!,animals,1
How do you make a tissue dance? Put a little boogie in it!,music,1
What do you call a fake stone in Ireland? A sham rock!,geography,1
Why don't oysters donate to charity? Because they're shellfish!,marine life,1
What do you call a dog magician? A labracadabrador!,animals,1
How do you catch a squirrel? Climb a tree and act like a nut!,animals,0
What do you call a bear with no ears? B!,animals,1
Why did the golfer bring two pairs of pants? In case he got a hole in one!,sports,1
What do you call a pile of cats? A meowtain!,animals,1
Why don't eggs tell jokes? They'd crack each other up!,food,0
What do you call a fake noodle? An impasta!,food,1
Why did the scarecrow win an award? He was outstanding in his field!,agriculture,1
How do you organize a space party? You planet!,space,1
Why don't skeletons fight each other? They don't have the guts!,anatomy,1
What do you call a can opener that doesn't work? A can't opener!,kitchen,0
Why did the math book look so sad? Because it had too many problems!,education,1
What do you call a bear with no teeth? A gummy bear!,animals,1
Why did the cookie go to the doctor? Because it was feeling crumbly!,food,0
